D_N	Haul	Species2	Species	ICES	Lengthcl	No	TS_a	TS_b
N	543	Clupea_harengus	1	51H0	13.25	682.9	20	-71.2
N	543	Clupea_harengus	1	51H0	13.75	657.6	20	-71.2
N	543	Clupea_harengus	1	51H0	14.25	859.9	20	-71.2
N	543	Clupea_harengus	1	51H0	14.75	1062.2	20	-71.2
N	543	Clupea_harengus	1	51H0	15.25	935.8	20	-71.2
N	543	Clupea_harengus	1	51H0	15.75	657.6	20	-71.2
N	543	Clupea_harengus	1	51H0	16.25	708.2	20	-71.2
N	543	Clupea_harengus	1	51H0	16.75	430	20	-71.2
N	543	Clupea_harengus	1	51H0	17.25	354.1	20	-71.2
N	543	Clupea_harengus	1	51H0	17.75	151.7	20	-71.2
N	543	Clupea_harengus	1	51H0	18.25	50.6	20	-71.2
N	543	Clupea_harengus	1	51H0	18.75	25.3	20	-71.2
N	543	Clupea_harengus	1	51H0	20.25	25.3	20	-71.2
N	543	Clupea_harengus	1	51H0	23.25	25.3	20	-71.2
N	543	Clupea_harengus	1	51H0	23.75	25.3	20	-71.2
N	543	Gasterosteus_aculeatus	2	51H0	3.5	88.5	20	-71.2
N	543	Gasterosteus_aculeatus	2	51H0	4.5	141.6	20	-71.2
N	543	Gasterosteus_aculeatus	2	51H0	5.5	79.7	20	-71.2
N	543	Gasterosteus_aculeatus	2	51H0	6.5	363	20	-71.2
N	543	Gasterosteus_aculeatus	2	51H0	7.5	17.7	20	-71.2
N	543	Gasterosteus_aculeatus	2	51H0	8.5	8.9	20	-71.2
N	543	Osmerus_eperlanus	2	51H0	13.5	5.6	20	-71.2
N	543	Osmerus_eperlanus	2	51H0	14.5	55.7	20	-71.2
N	543	Osmerus_eperlanus	2	51H0	15.5	144.9	20	-71.2
N	543	Osmerus_eperlanus	2	51H0	16.5	150.5	20	-71.2
N	543	Osmerus_eperlanus	2	51H0	17.5	66.9	20	-71.2
N	543	Osmerus_eperlanus	2	51H0	18.5	22.3	20	-71.2
N	543	Osmerus_eperlanus	2	51H0	19.5	16.7	20	-71.2
N	543	Osmerus_eperlanus	2	51H0	20.5	5.6	20	-71.2
N	543	Sprattus_sprattus	2	51H0	11.75	5.6	20	-71.2
N	543	Sprattus_sprattus	2	51H0	12.25	50.2	20	-71.2
N	543	Sprattus_sprattus	2	51H0	12.75	117	20	-71.2
N	543	Sprattus_sprattus	2	51H0	13.25	89.2	20	-71.2
N	543	Sprattus_sprattus	2	51H0	13.75	33.4	20	-71.2
N	543	Sprattus_sprattus	2	51H0	14.25	22.3	20	-71.2
N	549	Clupea_harengus	1	52G7	12.75	18	20	-71.2
N	549	Clupea_harengus	1	52G7	13.75	18	20	-71.2
N	549	Clupea_harengus	1	52G7	14.25	107.9	20	-71.2
N	549	Clupea_harengus	1	52G7	14.75	215.8	20	-71.2
N	549	Clupea_harengus	1	52G7	15.25	467.5	20	-71.2
N	549	Clupea_harengus	1	52G7	15.75	467.5	20	-71.2
N	549	Clupea_harengus	1	52G7	16.25	1024.9	20	-71.2
N	549	Clupea_harengus	1	52G7	16.75	665.3	20	-71.2
N	549	Clupea_harengus	1	52G7	17.25	791.1	20	-71.2
N	549	Clupea_harengus	1	52G7	17.75	611.3	20	-71.2
N	549	Clupea_harengus	1	52G7	18.25	521.4	20	-71.2
N	549	Clupea_harengus	1	52G7	18.75	233.7	20	-71.2
N	549	Clupea_harengus	1	52G7	19.25	125.9	20	-71.2
N	549	Clupea_harengus	1	52G7	19.75	161.8	20	-71.2
N	549	Clupea_harengus	1	52G7	20.25	143.8	20	-71.2
N	549	Clupea_harengus	1	52G7	20.75	18	20	-71.2
N	549	Clupea_harengus	1	52G7	21.25	36	20	-71.2
N	549	Clupea_harengus	1	52G7	21.75	18	20	-71.2
N	549	Clupea_harengus	1	52G7	22.25	18	20	-71.2
N	549	Clupea_harengus	1	52G7	22.75	53.9	20	-71.2
N	549	Gasterosteus_aculeatus	2	52G7	4.5	23	20	-71.2
N	549	Gasterosteus_aculeatus	2	52G7	5.5	115.2	20	-71.2
N	549	Gasterosteus_aculeatus	2	52G7	6.5	668.4	20	-71.2
N	549	Gasterosteus_aculeatus	2	52G7	7.5	368.8	20	-71.2
N	549	Liparis_liparis	2	52G7	9.5	8.9	20	-67.5
N	549	Liparis_liparis	2	52G7	10.5	8.9	20	-67.5
N	549	Sprattus_sprattus	2	52G7	12.75	12	20	-71.2
N	549	Sprattus_sprattus	2	52G7	13.25	4	20	-71.2
N	549	Sprattus_sprattus	2	52G7	13.75	8	20	-71.2
N	549	Sprattus_sprattus	2	52G7	14.25	4	20	-71.2
N	549	Sprattus_sprattus	2	52G7	14.75	4	20	-71.2
N	537	Clupea_harengus	1	52G9	14.75	164.6	20	-71.2
N	537	Clupea_harengus	1	52G9	15.25	164.6	20	-71.2
N	537	Clupea_harengus	1	52G9	15.75	658.5	20	-71.2
N	537	Clupea_harengus	1	52G9	16.25	987.7	20	-71.2
N	537	Clupea_harengus	1	52G9	16.75	658.5	20	-71.2
N	537	Clupea_harengus	1	52G9	17.25	921.8	20	-71.2
N	537	Clupea_harengus	1	52G9	17.75	1119.4	20	-71.2
N	537	Clupea_harengus	1	52G9	18.25	954.8	20	-71.2
N	537	Clupea_harengus	1	52G9	18.75	790.1	20	-71.2
N	537	Clupea_harengus	1	52G9	19.25	559.7	20	-71.2
N	537	Clupea_harengus	1	52G9	19.75	263.4	20	-71.2
N	537	Clupea_harengus	1	52G9	20.25	296.3	20	-71.2
N	537	Clupea_harengus	1	52G9	20.75	197.5	20	-71.2
N	537	Clupea_harengus	1	52G9	21.25	65.8	20	-71.2
N	537	Clupea_harengus	1	52G9	21.75	65.8	20	-71.2
N	537	Clupea_harengus	1	52G9	22.25	32.9	20	-71.2
N	537	Clupea_harengus	1	52G9	22.75	32.9	20	-71.2
N	537	Clupea_harengus	1	52G9	23.75	32.9	20	-71.2
N	537	Gasterosteus_aculeatus	2	52G9	4.5	228.1	20	-71.2
N	537	Gasterosteus_aculeatus	2	52G9	5.5	3421.5	20	-71.2
N	537	Gasterosteus_aculeatus	2	52G9	6.5	6843	20	-71.2
N	537	Gasterosteus_aculeatus	2	52G9	7.5	228.1	20	-71.2
N	537	Gasterosteus_aculeatus	2	52G9	8.5	228.1	20	-71.2
N	537	Liparis_liparis	2	52G9	10.5	1	20	-67.5
N	537	Liparis_liparis	2	52G9	12.5	1	20	-67.5
N	537	Sprattus_sprattus	2	52G9	13.75	12	20	-71.2
N	533	Clupea_harengus	1	53G8	12.75	56.1	20	-71.2
N	533	Clupea_harengus	1	53G8	13.25	56.1	20	-71.2
N	533	Clupea_harengus	1	53G8	14.25	56.1	20	-71.2
N	533	Clupea_harengus	1	53G8	14.75	56.1	20	-71.2
N	533	Clupea_harengus	1	53G8	15.25	336.6	20	-71.2
N	533	Clupea_harengus	1	53G8	15.75	673.1	20	-71.2
N	533	Clupea_harengus	1	53G8	16.25	1178	20	-71.2
N	533	Clupea_harengus	1	53G8	16.75	1514.6	20	-71.2
N	533	Clupea_harengus	1	53G8	17.25	2804.8	20	-71.2
N	533	Clupea_harengus	1	53G8	17.75	2075.5	20	-71.2
N	533	Clupea_harengus	1	53G8	18.25	1851.2	20	-71.2
N	533	Clupea_harengus	1	53G8	18.75	1346.3	20	-71.2
N	533	Clupea_harengus	1	53G8	19.25	1065.8	20	-71.2
N	533	Clupea_harengus	1	53G8	19.75	392.7	20	-71.2
N	533	Clupea_harengus	1	53G8	20.25	224.4	20	-71.2
N	533	Clupea_harengus	1	53G8	20.75	56.1	20	-71.2
N	533	Clupea_harengus	1	53G8	21.25	112.2	20	-71.2
N	533	Clupea_harengus	1	53G8	21.75	224.4	20	-71.2
N	533	Gasterosteus_aculeatus	2	53G8	3.5	1278.8	20	-71.2
N	533	Gasterosteus_aculeatus	2	53G8	4.5	426.3	20	-71.2
N	533	Gasterosteus_aculeatus	2	53G8	5.5	6394.1	20	-71.2
N	533	Gasterosteus_aculeatus	2	53G8	6.5	12788.2	20	-71.2
N	533	Gasterosteus_aculeatus	2	53G8	7.5	2557.6	20	-71.2
N	533	Liparis_liparis	2	53G8	10.5	1	20	-67.5
N	533	Sprattus_sprattus	2	53G8	12.75	21	20	-71.2
N	533	Sprattus_sprattus	2	53G8	13.25	21	20	-71.2
N	533	Sprattus_sprattus	2	53G8	14.25	21	20	-71.2
N	533	Sprattus_sprattus	2	53G8	15.25	21	20	-71.2
N	533	Syngnathus_rostellatus	2	53G8	9.5	10	0	0
N	532	Clupea_harengus	1	53G9	7.25	34.7	20	-71.2
N	532	Clupea_harengus	1	53G9	7.75	34.7	20	-71.2
N	532	Clupea_harengus	1	53G9	12.25	34.7	20	-71.2
N	532	Clupea_harengus	1	53G9	12.75	104.1	20	-71.2
N	532	Clupea_harengus	1	53G9	13.25	104.1	20	-71.2
N	532	Clupea_harengus	1	53G9	13.75	104.1	20	-71.2
N	532	Clupea_harengus	1	53G9	14.25	208.2	20	-71.2
N	532	Clupea_harengus	1	53G9	14.75	347.1	20	-71.2
N	532	Clupea_harengus	1	53G9	15.25	347.1	20	-71.2
N	532	Clupea_harengus	1	53G9	15.75	1214.7	20	-71.2
N	532	Clupea_harengus	1	53G9	16.25	1006.5	20	-71.2
N	532	Clupea_harengus	1	53G9	16.75	1214.7	20	-71.2
N	532	Clupea_harengus	1	53G9	17.25	1457.6	20	-71.2
N	532	Clupea_harengus	1	53G9	17.75	1284.1	20	-71.2
N	532	Clupea_harengus	1	53G9	18.25	902.4	20	-71.2
N	532	Clupea_harengus	1	53G9	18.75	832.9	20	-71.2
N	532	Clupea_harengus	1	53G9	19.25	451.2	20	-71.2
N	532	Clupea_harengus	1	53G9	19.75	277.6	20	-71.2
N	532	Clupea_harengus	1	53G9	20.25	173.5	20	-71.2
N	532	Clupea_harengus	1	53G9	20.75	104.1	20	-71.2
N	532	Clupea_harengus	1	53G9	21.25	69.4	20	-71.2
N	532	Clupea_harengus	1	53G9	21.75	34.7	20	-71.2
N	532	Gasterosteus_aculeatus	2	53G9	3.5	1148.1	20	-71.2
N	532	Gasterosteus_aculeatus	2	53G9	4.5	918.5	20	-71.2
N	532	Gasterosteus_aculeatus	2	53G9	5.5	3214.7	20	-71.2
N	532	Gasterosteus_aculeatus	2	53G9	6.5	6199.8	20	-71.2
N	532	Gasterosteus_aculeatus	2	53G9	7.5	1607.4	20	-71.2
N	532	Sprattus_sprattus	2	53G9	11.25	14.2	20	-71.2
N	532	Sprattus_sprattus	2	53G9	12.25	14.2	20	-71.2
N	532	Sprattus_sprattus	2	53G9	12.75	42.5	20	-71.2
N	532	Sprattus_sprattus	2	53G9	13.25	56.6	20	-71.2
N	532	Sprattus_sprattus	2	53G9	13.75	42.5	20	-71.2
N	532	Sprattus_sprattus	2	53G9	14.75	28.3	20	-71.2
N	523	Clupea_harengus	1	54H0	12.75	3.9	20	-71.2
N	523	Clupea_harengus	1	54H0	13.25	3.9	20	-71.2
N	523	Clupea_harengus	1	54H0	14.25	7.9	20	-71.2
N	523	Clupea_harengus	1	54H0	14.75	15.8	20	-71.2
N	523	Clupea_harengus	1	54H0	15.25	27.6	20	-71.2
N	523	Clupea_harengus	1	54H0	15.75	51.2	20	-71.2
N	523	Clupea_harengus	1	54H0	16.25	141.9	20	-71.2
N	523	Clupea_harengus	1	54H0	16.75	130.1	20	-71.2
N	523	Clupea_harengus	1	54H0	17.25	165.5	20	-71.2
N	523	Clupea_harengus	1	54H0	17.75	98.5	20	-71.2
N	523	Clupea_harengus	1	54H0	18.25	94.6	20	-71.2
N	523	Clupea_harengus	1	54H0	18.75	47.3	20	-71.2
N	523	Clupea_harengus	1	54H0	19.25	27.6	20	-71.2
N	523	Clupea_harengus	1	54H0	19.75	7.9	20	-71.2
N	523	Clupea_harengus	1	54H0	20.75	7.9	20	-71.2
N	523	Clupea_harengus	1	54H0	21.25	3.9	20	-71.2
N	523	Clupea_harengus	1	54H0	21.75	3.9	20	-71.2
N	523	Clupea_harengus	1	54H0	22.75	7.9	20	-71.2
N	523	Gasterosteus_aculeatus	2	54H0	3.5	144.6	20	-71.2
N	523	Gasterosteus_aculeatus	2	54H0	4.5	108.5	20	-71.2
N	523	Gasterosteus_aculeatus	2	54H0	5.5	198.8	20	-71.2
N	523	Gasterosteus_aculeatus	2	54H0	6.5	723.1	20	-71.2
N	523	Gasterosteus_aculeatus	2	54H0	7.5	90.4	20	-71.2
N	523	Liparis_liparis	2	54H0	9.5	1	20	-67.5
N	523	Liparis_liparis	2	54H0	10.5	2	20	-67.5
N	523	Osmerus_eperlanus	2	54H0	14.5	1	20	-71.2
N	523	Osmerus_eperlanus	2	54H0	15.5	3	20	-71.2
N	523	Osmerus_eperlanus	2	54H0	16.5	2	20	-71.2
N	523	Osmerus_eperlanus	2	54H0	18.5	1	20	-71.2
N	523	Pungitius_pungitius	2	54H0	5.5	1	20	-71.2
N	523	Sprattus_sprattus	2	54H0	10.75	5.2	20	-71.2
N	523	Sprattus_sprattus	2	54H0	11.25	36.7	20	-71.2
N	523	Sprattus_sprattus	2	54H0	11.75	42	20	-71.2
N	523	Sprattus_sprattus	2	54H0	12.25	131.2	20	-71.2
N	523	Sprattus_sprattus	2	54H0	12.75	152.2	20	-71.2
N	523	Sprattus_sprattus	2	54H0	13.25	215.1	20	-71.2
N	523	Sprattus_sprattus	2	54H0	13.75	110.2	20	-71.2
N	523	Sprattus_sprattus	2	54H0	14.25	31.5	20	-71.2
N	523	Sprattus_sprattus	2	54H0	14.75	10.5	20	-71.2
N	524	Clupea_harengus	1	54H0	7.75	33.2	20	-71.2
N	524	Clupea_harengus	1	54H0	8.25	55.4	20	-71.2
N	524	Clupea_harengus	1	54H0	9.25	11.1	20	-71.2
N	524	Clupea_harengus	1	54H0	11.75	22.1	20	-71.2
N	524	Clupea_harengus	1	54H0	12.25	77.5	20	-71.2
N	524	Clupea_harengus	1	54H0	12.75	155	20	-71.2
N	524	Clupea_harengus	1	54H0	13.25	110.7	20	-71.2
N	524	Clupea_harengus	1	54H0	13.75	110.7	20	-71.2
N	524	Clupea_harengus	1	54H0	14.25	143.9	20	-71.2
N	524	Clupea_harengus	1	54H0	14.75	88.6	20	-71.2
N	524	Clupea_harengus	1	54H0	15.25	221.4	20	-71.2
N	524	Clupea_harengus	1	54H0	15.75	321	20	-71.2
N	524	Clupea_harengus	1	54H0	16.25	453.9	20	-71.2
N	524	Clupea_harengus	1	54H0	16.75	398.5	20	-71.2
N	524	Clupea_harengus	1	54H0	17.25	254.6	20	-71.2
N	524	Clupea_harengus	1	54H0	17.75	199.3	20	-71.2
N	524	Clupea_harengus	1	54H0	18.25	210.3	20	-71.2
N	524	Clupea_harengus	1	54H0	18.75	121.8	20	-71.2
N	524	Clupea_harengus	1	54H0	19.25	99.6	20	-71.2
N	524	Clupea_harengus	1	54H0	19.75	77.5	20	-71.2
N	524	Clupea_harengus	1	54H0	20.25	55.4	20	-71.2
N	524	Clupea_harengus	1	54H0	20.75	55.4	20	-71.2
N	524	Clupea_harengus	1	54H0	21.25	22.1	20	-71.2
N	524	Clupea_harengus	1	54H0	21.75	33.2	20	-71.2
N	524	Clupea_harengus	1	54H0	22.25	11.1	20	-71.2
N	524	Clupea_harengus	1	54H0	22.75	11.1	20	-71.2
N	524	Gasterosteus_aculeatus	2	54H0	2.5	207.9	20	-71.2
N	524	Gasterosteus_aculeatus	2	54H0	3.5	207.9	20	-71.2
N	524	Gasterosteus_aculeatus	2	54H0	5.5	2494.8	20	-71.2
N	524	Gasterosteus_aculeatus	2	54H0	6.5	6237	20	-71.2
N	524	Gasterosteus_aculeatus	2	54H0	7.5	831.6	20	-71.2
N	524	Osmerus_eperlanus	2	54H0	13.5	1	20	-71.2
N	524	Osmerus_eperlanus	2	54H0	14.5	7	20	-71.2
N	524	Osmerus_eperlanus	2	54H0	15.5	10	20	-71.2
N	524	Osmerus_eperlanus	2	54H0	16.5	16	20	-71.2
N	524	Osmerus_eperlanus	2	54H0	17.5	8	20	-71.2
N	524	Osmerus_eperlanus	2	54H0	18.5	7	20	-71.2
N	524	Osmerus_eperlanus	2	54H0	20.5	1	20	-71.2
N	524	Pungitius_pungitius	2	54H0	5.5	5	20	-71.2
N	524	Salmo_salar	2	54H0	25.5	10.2	20	-71.2
N	524	Sprattus_sprattus	2	54H0	11.75	10.7	20	-71.2
N	524	Sprattus_sprattus	2	54H0	12.25	37.6	20	-71.2
N	524	Sprattus_sprattus	2	54H0	12.75	96.7	20	-71.2
N	524	Sprattus_sprattus	2	54H0	13.25	177.2	20	-71.2
N	524	Sprattus_sprattus	2	54H0	13.75	204.1	20	-71.2
N	524	Sprattus_sprattus	2	54H0	14.25	145	20	-71.2
N	524	Sprattus_sprattus	2	54H0	14.75	59.1	20	-71.2
N	524	Sprattus_sprattus	2	54H0	15.25	16.1	20	-71.2
