D_N	Haul	Species2	Species	ICES	Lengthcl	No	TS_a	TS_b
N	555	Clupea_harengus	1	50G9	12.75	14.7	20	-71.2
N	555	Clupea_harengus	1	50G9	13.25	14.7	20	-71.2
N	555	Clupea_harengus	1	50G9	13.75	14.7	20	-71.2
N	555	Clupea_harengus	1	50G9	14.25	117.8	20	-71.2
N	555	Clupea_harengus	1	50G9	14.75	265.1	20	-71.2
N	555	Clupea_harengus	1	50G9	15.25	486	20	-71.2
N	555	Clupea_harengus	1	50G9	15.75	854.2	20	-71.2
N	555	Clupea_harengus	1	50G9	16.25	780.5	20	-71.2
N	555	Clupea_harengus	1	50G9	16.75	765.8	20	-71.2
N	555	Clupea_harengus	1	50G9	17.25	515.4	20	-71.2
N	555	Clupea_harengus	1	50G9	17.75	368.2	20	-71.2
N	555	Clupea_harengus	1	50G9	18.25	147.3	20	-71.2
N	555	Clupea_harengus	1	50G9	18.75	103.1	20	-71.2
N	555	Clupea_harengus	1	50G9	19.25	14.7	20	-71.2
N	555	Clupea_harengus	1	50G9	19.75	14.7	20	-71.2
N	555	Clupea_harengus	1	50G9	20.25	14.7	20	-71.2
N	555	Gasterosteus_aculeatus	2	50G9	5.5	2732.4	20	-71.2
N	555	Gasterosteus_aculeatus	2	50G9	6.5	7286.3	20	-71.2
N	555	Liparis_liparis	2	50G9	9.5	1	20	-67.5
N	555	Liparis_liparis	2	50G9	11.5	2	20	-67.5
N	555	Sprattus_sprattus	2	50G9	11.75	4.8	20	-71.2
N	555	Sprattus_sprattus	2	50G9	12.75	14.4	20	-71.2
N	555	Sprattus_sprattus	2	50G9	13.25	4.8	20	-71.2
N	555	Sprattus_sprattus	2	50G9	13.75	4.8	20	-71.2
N	542	Clupea_harengus	1	51H0	12.75	69.1	20	-71.2
N	542	Clupea_harengus	1	51H0	13.25	41.5	20	-71.2
N	542	Clupea_harengus	1	51H0	13.75	165.8	20	-71.2
N	542	Clupea_harengus	1	51H0	14.25	290.2	20	-71.2
N	542	Clupea_harengus	1	51H0	14.75	469.8	20	-71.2
N	542	Clupea_harengus	1	51H0	15.25	663.3	20	-71.2
N	542	Clupea_harengus	1	51H0	15.75	469.8	20	-71.2
N	542	Clupea_harengus	1	51H0	16.25	732.4	20	-71.2
N	542	Clupea_harengus	1	51H0	16.75	538.9	20	-71.2
N	542	Clupea_harengus	1	51H0	17.25	207.3	20	-71.2
N	542	Clupea_harengus	1	51H0	17.75	138.2	20	-71.2
N	542	Clupea_harengus	1	51H0	18.25	179.6	20	-71.2
N	542	Clupea_harengus	1	51H0	18.75	96.7	20	-71.2
N	542	Clupea_harengus	1	51H0	19.25	82.9	20	-71.2
N	542	Clupea_harengus	1	51H0	19.75	69.1	20	-71.2
N	542	Clupea_harengus	1	51H0	20.25	27.6	20	-71.2
N	542	Clupea_harengus	1	51H0	20.75	13.8	20	-71.2
N	542	Clupea_harengus	1	51H0	24.25	13.8	20	-71.2
N	542	Gasterosteus_aculeatus	2	51H0	4.5	67.1	20	-71.2
N	542	Gasterosteus_aculeatus	2	51H0	5.5	1408.9	20	-71.2
N	542	Gasterosteus_aculeatus	2	51H0	6.5	2348.2	20	-71.2
N	542	Gasterosteus_aculeatus	2	51H0	7.5	201.3	20	-71.2
N	542	Liparis_liparis	2	51H0	13.5	3.3	20	-67.5
N	542	Pungitius_pungitius	2	51H0	6.5	3.5	20	-71.2
N	542	Sprattus_sprattus	2	51H0	11.25	6.6	20	-71.2
N	542	Sprattus_sprattus	2	51H0	11.75	26.5	20	-71.2
N	542	Sprattus_sprattus	2	51H0	12.25	92.6	20	-71.2
N	542	Sprattus_sprattus	2	51H0	12.75	76.1	20	-71.2
N	542	Sprattus_sprattus	2	51H0	13.25	89.3	20	-71.2
N	542	Sprattus_sprattus	2	51H0	13.75	95.9	20	-71.2
N	542	Sprattus_sprattus	2	51H0	14.25	19.8	20	-71.2
N	542	Sprattus_sprattus	2	51H0	15.25	3.3	20	-71.2
N	543	Clupea_harengus	1	51H0	9.25	25.3	20	-71.2
N	543	Clupea_harengus	1	51H0	10.75	25.3	20	-71.2
N	543	Clupea_harengus	1	51H0	11.25	75.9	20	-71.2
N	543	Clupea_harengus	1	51H0	11.75	151.7	20	-71.2
N	543	Clupea_harengus	1	51H0	12.25	202.3	20	-71.2
N	543	Clupea_harengus	1	51H0	12.75	708.2	20	-71.2
