Nlog	R	rectangles
13	1	50G7
72	2	50G8
72	3	50G9
66	4	50H0
0	5	50H1
1	6	51G7
83	7	51G8
87	8	51G9
55	9	51H0
0	10	51H1
0	11	52G7
92	12	52G8
58	13	52G9
56	14	52H0
0	15	52H1
0	16	53G7
78	17	53G8
56	18	53G9
50	19	53H0
0	20	53H1
0	21	54G7
28	22	54G8
63	23	54G9
58	24	54H0
0	25	55G8
69	26	55G9
53	27	55H0
0	28	55H1
