Nlog	R	rectangles
20	1	50G7
55	2	50G8
46	3	50G9
36	4	50H0
0	5	50H1
30	6	51G7
55	7	51G8
29	8	51G9
30	9	51H0
0	10	51H1
22	11	52G7
29	12	52G8
35	13	52G9
30	14	52H0
0	15	52H1
0	16	53G7
28	17	53G8
29	18	53G9
30	19	53H0
0	20	53H1
0	21	54G7
24	22	54G8
29	23	54G9
31	24	54H0
0	25	55G8
26	26	55G9
24	27	55H0
0	28	55H1
