Nlog	R	rectangles
40	1	50G7
65	2	50G8
56	3	50G9
46	4	50H0
0	5	50H1
31	6	51G7
57	7	51G8
55	8	51G9
55	9	51H0
0	10	51H1
18	11	52G7
58	12	52G8
47	13	52G9
55	14	52H0
0	15	52H1
22	16	53G7
51	17	53G8
66	18	53G9
56	19	53H0
0	20	53H1
0	21	54G7
52	22	54G8
78	23	54G9
55	24	54H0
0	25	55G8
75	26	55G9
43	27	55H0
0	28	55H1
