Nlog	R	rectangles
29	1	50G7
66	2	50G8
92	3	50G9
68	4	50H0
0	5	50H1
46	6	51G7
95	7	51G8
68	8	51G9
64	9	51H0
0	10	51H1
31	11	52G7
84	12	52G8
71	13	52G9
84	14	52H0
0	15	52H1
31	16	53G7
96	17	53G8
75	18	53G9
58	19	53H0
0	20	53H1
0	21	54G7
47	22	54G8
84	23	54G9
61	24	54H0
3	25	55G8
71	26	55G9
64	27	55H0
0	28	55H1
