ch1	ch2	Rec	meanD	Rec2	Ae	pA	LOG
249.6807	4.5526	1	40	50G7	0.002647496	6.57E-06	1
120.1689	3.1993	1	35	50G7	0.002315959	5.75E-06	2
162.4719	3.2539	1	35	50G7	0.002315959	5.75E-06	3
242.3652	0	1	30	50G7	0.001984594	4.92E-06	4
366.4175	0.0696	1	35	50G7	0.002315959	5.75E-06	5
436.6889	0	1	30	50G7	0.001984594	4.92E-06	6
205.8647	0	1	25	50G7	0.0016534	4.10E-06	7
331.0173	0	1	30	50G7	0.001984594	4.92E-06	8
267.1435	0	1	30	50G7	0.001984594	4.92E-06	9
306.4394	0	1	30	50G7	0.001984594	4.92E-06	10
443.4997	0	1	30	50G7	0.001984594	4.92E-06	11
218.0205	0	1	35	50G7	0.002315959	5.75E-06	12
770.3796	0	1	35	50G7	0.002315959	5.75E-06	13
906.4083	0	1	30	50G7	0.001984594	4.92E-06	14
662.6736	0	1	35	50G7	0.002315959	5.75E-06	15
675.2806	1.5096	1	35	50G7	0.002315959	5.75E-06	16
496.1165	0.5308	1	35	50G7	0.002315959	5.75E-06	17
424.1216	0.2642	1	35	50G7	0.002315959	5.75E-06	18
699.7392	0	1	30	50G7	0.001984594	4.92E-06	19
623.8325	1.3724	1	35	50G7	0.002315959	5.75E-06	20
420.884	5.2557	1	40	50G7	0.002647496	6.57E-06	21
531.7887	1.7367	1	40	50G7	0.002647496	6.57E-06	22
406.481	0.6611	1	35	50G7	0.002315959	5.75E-06	23
178.2577	0	1	30	50G7	0.001984594	4.92E-06	24
98.1174	0	1	30	50G7	0.001984594	4.92E-06	25
125.8649	0	1	30	50G7	0.001984594	4.92E-06	26
175.4263	0	1	25	50G7	0.0016534	4.10E-06	27
328.3532	0.8508	1	40	50G7	0.002647496	6.57E-06	28
320.4454	1.1507	1	40	50G7	0.002647496	6.57E-06	29
334.1061	1.5406	1	35	50G7	0.002315959	5.75E-06	30
128.472	0	1	35	50G7	0.002315959	5.75E-06	31
209.6946	0.6709	1	35	50G7	0.002315959	5.75E-06	32
118.198	0.5491	1	35	50G7	0.002315959	5.75E-06	33
138.236	0.2064	1	35	50G7	0.002315959	5.75E-06	34
157.0687	1.3201	1	35	50G7	0.002315959	5.75E-06	35
246.2844	0.3975	1	35	50G7	0.002315959	5.75E-06	36
423.3204	0	1	30	50G7	0.001984594	4.92E-06	37
360.1509	0	1	30	50G7	0.001984594	4.92E-06	38
338.0241	1.4762	1	35	50G7	0.002315959	5.75E-06	39
490.2386	5.557	1	35	50G7	0.002315959	5.75E-06	40
NA	NA	1	NA	50G7	403.0113368	0.999780047	41
166.2645	40.2435	2	50	50G8	0.003311083	3.97E-06	1
157.4659	21.3564	2	50	50G8	0.003311083	3.97E-06	2
214.8525	49.2049	2	50	50G8	0.003311083	3.97E-06	3
132.0498	53.7047	2	50	50G8	0.003311083	3.97E-06	4
259.6109	112.9272	2	45	50G8	0.002979204	3.57E-06	5
303.9882	135.2249	2	45	50G8	0.002979204	3.57E-06	6
176.0175	105.1643	2	45	50G8	0.002979204	3.57E-06	7
32.3433	71.5199	2	45	50G8	0.002979204	3.57E-06	8
175.4842	17.7251	2	40	50G8	0.002647496	3.18E-06	9
152.9161	47.7867	2	40	50G8	0.002647496	3.18E-06	10
226.6798	32.5513	2	40	50G8	0.002647496	3.18E-06	11
158.5357	28.2827	2	35	50G8	0.002315959	2.78E-06	12
404.4064	2.3563	2	35	50G8	0.002315959	2.78E-06	13
239.6149	22.7633	2	35	50G8	0.002315959	2.78E-06	14
250.3557	21.3764	2	35	50G8	0.002315959	2.78E-06	15
81.8201	30.4019	2	35	50G8	0.002315959	2.78E-06	16
