ch1	ch2	Rec	meanD	Rec2	Ae	pA	LOG
268.723466	1.520648	1	35	50G7	0.002315959	5.75E-06	1
272.558054	2.219274	1	35	50G7	0.002315959	5.75E-06	2
302.23535	4.292878	1	35	50G7	0.002315959	5.75E-06	3
240.077389	1.308216	1	35	50G7	0.002315959	5.75E-06	4
261.364085	0	1	35	50G7	0.002315959	5.75E-06	5
381.844794	0	1	30	50G7	0.001984594	4.92E-06	6
489.152863	0	1	30	50G7	0.001984594	4.92E-06	7
546.748326	0	1	30	50G7	0.001984594	4.92E-06	8
755.027253	0	1	25	50G7	0.0016534	4.10E-06	9
869.588955	0	1	30	50G7	0.001984594	4.92E-06	10
581.082946	6.218979	1	35	50G7	0.002315959	5.75E-06	11
467.424997	110.088033	1	35	50G7	0.002315959	5.75E-06	12
231.113252	135.327134	1	35	50G7	0.002315959	5.75E-06	13
116.543255	52.883459	1	35	50G7	0.002315959	5.75E-06	14
123.270219	35.153483	1	35	50G7	0.002315959	5.75E-06	15
171.821965	60.643622	1	35	50G7	0.002315959	5.75E-06	16
105.63902	28.793654	1	35	50G7	0.002315959	5.75E-06	17
115.946927	14.858834	1	35	50G7	0.002315959	5.75E-06	18
89.174182	11.409629	1	35	50G7	0.002315959	5.75E-06	19
74.705255	49.277154	1	35	50G7	0.002315959	5.75E-06	20
NA	NA	1	NA	50G7	403.0556688	0.999890024	21
214.534876	76.482647	2	40	50G8	0.002647496	3.18E-06	1
358.464197	96.189211	2	35	50G8	0.002315959	2.78E-06	2
78.179981	46.696995	2	35	50G8	0.002315959	2.78E-06	3
254.207496	28.570183	2	35	50G8	0.002315959	2.78E-06	4
439.903097	29.626934	2	35	50G8	0.002315959	2.78E-06	5
135.739122	0	2	30	50G8	0.001984594	2.38E-06	6
100.467467	0	2	30	50G8	0.001984594	2.38E-06	7
88.497781	0	2	30	50G8	0.001984594	2.38E-06	8
129.583249	0	2	35	50G8	0.002315959	2.78E-06	9
119.163607	0	2	30	50G8	0.001984594	2.38E-06	10
646.945941	0	2	30	50G8	0.001984594	2.38E-06	11
329.233234	0	2	30	50G8	0.001984594	2.38E-06	12
115.627044	0	2	30	50G8	0.001984594	2.38E-06	13
530.814893	15.98401	2	35	50G8	0.002315959	2.78E-06	14
37.330179	67.957853	2	35	50G8	0.002315959	2.78E-06	15
94.94012	9.78704	2	35	50G8	0.002315959	2.78E-06	16
230.681472	0	2	30	50G8	0.001984594	2.38E-06	17
189.896301	0	2	25	50G8	0.0016534	1.98E-06	18
292.476427	0	2	30	50G8	0.001984594	2.38E-06	19
23.209449	0	2	25	50G8	0.0016534	1.98E-06	20
679.61122	0	2	25	50G8	0.0016534	1.98E-06	21
1051.366994	0	2	30	50G8	0.001984594	2.38E-06	22
1153.199282	0	2	25	50G8	0.0016534	1.98E-06	23
1097.585039	2.770307	2	40	50G8	0.002647496	3.18E-06	24
1360.608152	37.517721	2	40	50G8	0.002647496	3.18E-06	25
493.539667	33.902327	2	45	50G8	0.002979204	3.57E-06	26
336.759742	30.396704	2	45	50G8	0.002979204	3.57E-06	27
332.163316	21.430048	2	45	50G8	0.002979204	3.57E-06	28
330.239965	42.074297	2	45	50G8	0.002979204	3.57E-06	29
650.350447	49.241346	2	45	50G8	0.002979204	3.57E-06	30
521.222096	40.32685	2	45	50G8	0.002979204	3.57E-06	31
464.997912	46.247953	2	45	50G8	0.002979204	3.57E-06	32
641.774457	43.118742	2	40	50G8	0.002647496	3.18E-06	33
678.134511	18.414385	2	40	50G8	0.002647496	3.18E-06	34
492.461683	0	2	30	50G8	0.001984594	2.38E-06	35
666.732775	0	2	30	50G8	0.001984594	2.38E-06	36
606.470132	0	2	30	50G8	0.001984594	2.38E-06	37
614.277015	31.451213	2	40	50G8	0.002647496	3.18E-06	38
534.821693	79.393365	2	40	50G8	0.002647496	3.18E-06	39
506.103965	103.233262	2	40	50G8	0.002647496	3.18E-06	40
594.425347	45.385541	2	40	50G8	0.002647496	3.18E-06	41
860.195215	9.537744	2	35	50G8	0.002315959	2.78E-06	42
778.398409	61.417506	2	40	50G8	0.002647496	3.18E-06	43
848.907535	140.829276	2	45	50G8	0.002979204	3.57E-06	44
1036.170559	40.917958	2	40	50G8	0.002647496	3.18E-06	45
943.821668	2.350479	2	35	50G8	0.002315959	2.78E-06	46
993.919585	0	2	30	50G8	0.001984594	2.38E-06	47
929.176486	8.532697	2	35	50G8	0.002315959	2.78E-06	48
846.45326	0	2	30	50G8	0.001984594	2.38E-06	49
866.188576	19.084723	2	40	50G8	0.002647496	3.18E-06	50
989.591429	122.622431	2	50	50G8	0.003311083	3.97E-06	51
583.674409	29.139519	2	75	50G8	0.004973049	5.97E-06	52
441.403229	24.638423	2	75	50G8	0.004973049	5.97E-06	53
382.97403	18.432686	2	75	50G8	0.004973049	5.97E-06	54
346.320346	26.130259	2	50	50G8	0.003311083	3.97E-06	55
NA	NA	2	NA	50G8	833.260997	0.99983321	56
393.581071	111.01033	3	40	50G9	0.002647496	3.01E-06	1
353.498711	154.128019	3	40	50G9	0.002647496	3.01E-06	2
280.768957	154.335241	3	45	50G9	0.002979204	3.39E-06	3
216.437018	127.194222	3	40	50G9	0.002647496	3.01E-06	4
187.209808	136.684451	3	40	50G9	0.002647496	3.01E-06	5
221.398757	156.665822	3	40	50G9	0.002647496	3.01E-06	6
221.553471	165.960683	3	50	50G9	0.003311083	3.76E-06	7
141.480623	240.345242	3	45	50G9	0.002979204	3.39E-06	8
120.562698	205.610526	3	45	50G9	0.002979204	3.39E-06	9
256.240861	140.98584	3	40	50G9	0.002647496	3.01E-06	10
168.15973	260.385188	3	45	50G9	0.002979204	3.39E-06	11
139.344322	217.388757	3	50	50G9	0.003311083	3.76E-06	12
152.660802	141.712648	3	40	50G9	0.002647496	3.01E-06	13
305.15673	113.259604	3	45	50G9	0.002979204	3.39E-06	14
210.159467	188.201546	3	45	50G9	0.002979204	3.39E-06	15
256.091335	100.316048	3	45	50G9	0.002979204	3.39E-06	16
310.873984	105.833413	3	45	50G9	0.002979204	3.39E-06	17
97.042007	108.91881	3	40	50G9	0.002647496	3.01E-06	18
142.777535	116.210621	3	45	50G9	0.002979204	3.39E-06	19
141.183701	217.326562	3	45	50G9	0.002979204	3.39E-06	20
202.152321	240.709923	3	40	50G9	0.002647496	3.01E-06	21
172.625982	94.669769	3	40	50G9	0.002647496	3.01E-06	22
365.246723	290.581254	3	50	50G9	0.003311083	3.76E-06	23
186.32436	85.154575	3	45	50G9	0.002979204	3.39E-06	24
1283.652611	132.708574	3	40	50G9	0.002647496	3.01E-06	25
255.697667	78.951244	3	45	50G9	0.002979204	3.39E-06	26
397.105288	47.37618	3	35	50G9	0.002315959	2.63E-06	27
318.800002	23.422435	3	35	50G9	0.002315959	2.63E-06	28
582.669756	20.122366	3	40	50G9	0.002647496	3.01E-06	29
535.515522	31.88591	3	40	50G9	0.002647496	3.01E-06	30
401.20905	25.113213	3	70	50G9	0.004640313	5.28E-06	31
447.36274	31.433969	3	70	50G9	0.004640313	5.28E-06	32
541.425753	22.612853	3	70	50G9	0.004640313	5.28E-06	33
387.558124	28.93936	3	70	50G9	0.004640313	5.28E-06	34
530.458098	40.800915	3	75	50G9	0.004973049	5.65E-06	35
470.142904	45.8762	3	70	50G9	0.004640313	5.28E-06	36
413.832098	21.368938	3	70	50G9	0.004640313	5.28E-06	37
450.015866	18.764074	3	65	50G9	0.004307749	4.90E-06	38
384.703242	11.995065	3	65	50G9	0.004307749	4.90E-06	39
456.59098	8.472356	3	60	50G9	0.003975356	4.52E-06	40
474.618639	11.499321	3	60	50G9	0.003975356	4.52E-06	41
572.413319	10.05119	3	60	50G9	0.003975356	4.52E-06	42
549.974609	18.436009	3	60	50G9	0.003975356	4.52E-06	43
486.151281	18.087451	3	60	50G9	0.003975356	4.52E-06	44
704.037116	19.448362	3	60	50G9	0.003975356	4.52E-06	45
611.811903	20.201854	3	55	50G9	0.003643134	4.14E-06	46
NA	NA	3	NA	50G9	879.3463412	0.999825289	47
370.298077	25.615382	4	40	50H0	0.002647496	3.33E-06	1
319.254176	22.271122	4	35	50H0	0.002315959	2.91E-06	2
1437.525004	0	4	30	50H0	0.001984594	2.50E-06	3
549.687589	0	4	30	50H0	0.001984594	2.50E-06	4
1091.033463	0	4	30	50H0	0.001984594	2.50E-06	5
2288.586678	4.355703	4	35	50H0	0.002315959	2.91E-06	6
299.915734	0	4	35	50H0	0.002315959	2.91E-06	7
