ch1	ch2	Rec	meanD	Rec2	Ae	pA	LOG
144.368	0	1	30	50G7	0.001984594	4.92E-06	1
256.42	0	1	30	50G7	0.001984594	4.92E-06	2
239.877	0	1	30	50G7	0.001984594	4.92E-06	3
558.234	4.334	1	35	50G7	0.002315959	5.75E-06	4
590.464	0	1	30	50G7	0.001984594	4.92E-06	5
940.246	0	1	30	50G7	0.001984594	4.92E-06	6
136.457	74.904	1	35	50G7	0.002315959	5.75E-06	7
151.973	260.044	1	40	50G7	0.002647496	6.57E-06	8
163.102	97.089	1	50	50G7	0.003311083	8.21E-06	9
176.45	213.071	1	35	50G7	0.002315959	5.75E-06	10
186.176	70.251	1	35	50G7	0.002315959	5.75E-06	11
1308.158	0	1	30	50G7	0.001984594	4.92E-06	12
288.004	0	1	30	50G7	0.001984594	4.92E-06	13
1556.82	0	1	30	50G7	0.001984594	4.92E-06	14
328.771	0	1	20	50G7	0.001322377	3.28E-06	15
2.654	0	1	20	50G7	0.001322377	3.28E-06	16
201.065	0	1	15	50G7	0.000991526	2.46E-06	17
184.878	0	1	30	50G7	0.001984594	4.92E-06	18
153.327	0	1	30	50G7	0.001984594	4.92E-06	19
168.953	0	1	30	50G7	0.001984594	4.92E-06	20
274.357	0	1	30	50G7	0.001984594	4.92E-06	21
99.166	0	1	30	50G7	0.001984594	4.92E-06	22
189.516	0	1	30	50G7	0.001984594	4.92E-06	23
353.815	4.353	1	35	50G7	0.002315959	5.75E-06	24
275.887	2.506	1	35	50G7	0.002315959	5.75E-06	25
552.055	0.938	1	35	50G7	0.002315959	5.75E-06	26
621.895	0	1	30	50G7	0.001984594	4.92E-06	27
810.339	0	1	30	50G7	0.001984594	4.92E-06	28
777.89	3.035	1	35	50G7	0.002315959	5.75E-06	29
NA	NA	1	NA	50G7	403.040124	0.999851461	30
24.081	29.374	2	50	50G8	0.003311083	3.97E-06	1
3.861	52.612	2	45	50G8	0.002979204	3.57E-06	2
239.066	43.268	2	40	50G8	0.002647496	3.18E-06	3
11.591	22.55	2	45	50G8	0.002979204	3.57E-06	4
123.253	25.817	2	45	50G8	0.002979204	3.57E-06	5
1036.528	29.2	2	40	50G8	0.002647496	3.18E-06	6
30.419	15.837	2	40	50G8	0.002647496	3.18E-06	7
91.844	0	2	30	50G8	0.001984594	2.38E-06	8
