ch1	ch2	Rec	meanD	Rec2	Ae	pA	LOG
1076	7	1	35	50G7	0.002315959	5.75E-06	1
998	17	1	35	50G7	0.002315959	5.75E-06	2
1131	0	1	30	50G7	0.001984594	4.92E-06	3
1411	0	1	30	50G7	0.001984594	4.92E-06	4
995	1	1	35	50G7	0.002315959	5.75E-06	5
594	2	1	35	50G7	0.002315959	5.75E-06	6
840	0	1	30	50G7	0.001984594	4.92E-06	7
1286	0	1	30	50G7	0.001984594	4.92E-06	8
916	0	1	30	50G7	0.001984594	4.92E-06	9
433	121	1	35	50G7	0.002315959	5.75E-06	10
445	58	1	35	50G7	0.002315959	5.75E-06	11
240	30	1	35	50G7	0.002315959	5.75E-06	12
157	42	1	35	50G7	0.002315959	5.75E-06	13
198	1	1	35	50G7	0.002315959	5.75E-06	14
180	0	1	30	50G7	0.001984594	4.92E-06	15
253	107	1	40	50G7	0.002647496	6.57E-06	16
1169	169	1	40	50G7	0.002647496	6.57E-06	17
243	98	1	35	50G7	0.002315959	5.75E-06	18
322	0	1	30	50G7	0.001984594	4.92E-06	19
440	0	1	25	50G7	0.0016534	4.10E-06	20
478	0	1	30	50G7	0.001984594	4.92E-06	21
250	0	1	30	50G7	0.001984594	4.92E-06	22
30	0	1	35	50G7	0.002315959	5.75E-06	23
NA	NA	1	NA	50G7	403.0497147	0.999875254	24
29	0	2	30	50G8	0.001984594	2.38E-06	1
162	0	2	25	50G8	0.0016534	1.98E-06	2
181	0	2	25	50G8	0.0016534	1.98E-06	3
179	0	2	25	50G8	0.0016534	1.98E-06	4
258	0	2	25	50G8	0.0016534	1.98E-06	5
198	0	2	25	50G8	0.0016534	1.98E-06	6
123	0	2	30	50G8	0.001984594	2.38E-06	7
81	1	2	40	50G8	0.002647496	3.18E-06	8
120	27	2	35	50G8	0.002315959	2.78E-06	9
134	31	2	35	50G8	0.002315959	2.78E-06	10
301	45	2	35	50G8	0.002315959	2.78E-06	11
355	41	2	35	50G8	0.002315959	2.78E-06	12
304	106	2	35	50G8	0.002315959	2.78E-06	13
379	19	2	35	50G8	0.002315959	2.78E-06	14
99	8	2	35	50G8	0.002315959	2.78E-06	15
238	71	2	35	50G8	0.002315959	2.78E-06	16
571	63	2	35	50G8	0.002315959	2.78E-06	17
330	36	2	40	50G8	0.002647496	3.18E-06	18
481	170	2	40	50G8	0.002647496	3.18E-06	19
431	81	2	40	50G8	0.002647496	3.18E-06	20
175	205	2	45	50G8	0.002979204	3.57E-06	21
274	79	2	45	50G8	0.002979204	3.57E-06	22
177	80	2	45	50G8	0.002979204	3.57E-06	23
180	44	2	40	50G8	0.002647496	3.18E-06	24
350	0	2	30	50G8	0.001984594	2.38E-06	25
690	0	2	25	50G8	0.0016534	1.98E-06	26
360	0	2	25	50G8	0.0016534	1.98E-06	27
136	103	2	50	50G8	0.003311083	3.97E-06	28
132	154	2	50	50G8	0.003311083	3.97E-06	29
125	171	2	50	50G8	0.003311083	3.97E-06	30
150	123	2	50	50G8	0.003311083	3.97E-06	31
193	213	2	50	50G8	0.003311083	3.97E-06	32
491	153	2	45	50G8	0.002979204	3.57E-06	33
342	99	2	45	50G8	0.002979204	3.57E-06	34
1243	49	2	45	50G8	0.002979204	3.57E-06	35
884	24	2	45	50G8	0.002979204	3.57E-06	36
990	46	2	40	50G8	0.002647496	3.18E-06	37
691	27	2	40	50G8	0.002647496	3.18E-06	38
NA	NA	2	NA	50G8	833.3056865	0.999886833	39
234	25	3	45	50G9	0.002979204	3.39E-06	1
NA	NA	3	NA	50G9	879.4970208	0.999996613	2
96	36	4	45	50H0	0.002979204	3.75E-06	1
89	58	4	45	50H0	0.002979204	3.75E-06	2
1100	67	4	45	50H0	0.002979204	3.75E-06	3
