Nlog	R	rectangles
23	1	50G7
38	2	50G8
1	3	50G9
43	4	50H0
0	5	50H1
92	6	51G7
138	7	51G8
130	8	51G9
95	9	51H0
0	10	51H1
0	11	52G7
33	12	52G8
28	13	52G9
32	14	52H0
0	15	52H1
28	16	53G7
133	17	53G8
111	18	53G9
113	19	53H0
0	20	53H1
0	21	54G7
14	22	54G8
21	23	54G9
23	24	54H0
0	25	55G8
59	26	55G9
48	27	55H0
0	28	55H1
