ch1	ch2	Rec	meanD	Rec2	Ae	pA	LOG
571.319	18.039	1	35	50G7	0.002315959	5.75E-06	1
739.512	0	1	30	50G7	0.001984594	4.92E-06	2
683.347	0	1	30	50G7	0.001984594	4.92E-06	3
543.688	0	1	30	50G7	0.001984594	4.92E-06	4
677.365	0	1	30	50G7	0.001984594	4.92E-06	5
370.966	0	1	30	50G7	0.001984594	4.92E-06	6
271.151	0	1	30	50G7	0.001984594	4.92E-06	7
287.029	15.314	1	35	50G7	0.002315959	5.75E-06	8
329.483	13.619	1	35	50G7	0.002315959	5.75E-06	9
535.63	32.839	1	40	50G7	0.002647496	6.57E-06	10
350.572	27.275	1	40	50G7	0.002647496	6.57E-06	11
284.498	22.789	1	35	50G7	0.002315959	5.75E-06	12
360.049	6.793	1	35	50G7	0.002315959	5.75E-06	13
NA	NA	1	NA	50G7	403.0712176	0.999928597	14
443.082	6.34	2	35	50G8	0.002315959	2.78E-06	1
373.325	9.48	2	35	50G8	0.002315959	2.78E-06	2
322.489	6.498	2	35	50G8	0.002315959	2.78E-06	3
541.507	10.298	2	35	50G8	0.002315959	2.78E-06	4
567.298	6.479	2	35	50G8	0.002315959	2.78E-06	5
498.931	18.604	2	35	50G8	0.002315959	2.78E-06	6
423.029	9.634	2	35	50G8	0.002315959	2.78E-06	7
333.1	7.49	2	35	50G8	0.002315959	2.78E-06	8
516.52	9.093	2	35	50G8	0.002315959	2.78E-06	9
787.785	10.447	2	35	50G8	0.002315959	2.78E-06	10
823.718	1.889	2	35	50G8	0.002315959	2.78E-06	11
944.068	0	2	30	50G8	0.001984594	2.38E-06	12
577.757	0	2	25	50G8	0.0016534	1.98E-06	13
523.944	0	2	25	50G8	0.0016534	1.98E-06	14
614.916	0	2	30	50G8	0.001984594	2.38E-06	15
772.503	0	2	30	50G8	0.001984594	2.38E-06	16
4.743	217.573	2	50	50G8	0.003311083	3.97E-06	17
12.746	278.551	2	55	50G8	0.003643134	4.37E-06	18
10.002	52.151	2	45	50G8	0.002979204	3.57E-06	19
1.636	79.519	2	40	50G8	0.002647496	3.18E-06	20
12.44	103.478	2	45	50G8	0.002979204	3.57E-06	21
0	140.747	2	65	50G8	0.004307749	5.17E-06	22
1.421	62.871	2	45	50G8	0.002979204	3.57E-06	23
3.081	54.036	2	50	50G8	0.003311083	3.97E-06	24
7.89	67.436	2	45	50G8	0.002979204	3.57E-06	25
161.638	61.557	2	45	50G8	0.002979204	3.57E-06	26
145.033	70.516	2	45	50G8	0.002979204	3.57E-06	27
4.395	91.514	2	45	50G8	0.002979204	3.57E-06	28
53.646	174.686	2	40	50G8	0.002647496	3.18E-06	29
2.876	23.963	2	55	50G8	0.003643134	4.37E-06	30
1.307	32.92	2	55	50G8	0.003643134	4.37E-06	31
1.835	152.035	2	55	50G8	0.003643134	4.37E-06	32
19.375	106.002	2	45	50G8	0.002979204	3.57E-06	33
3.139	116.587	2	45	50G8	0.002979204	3.57E-06	34
23.902	67.348	2	45	50G8	0.002979204	3.57E-06	35
3.14	52.117	2	45	50G8	0.002979204	3.57E-06	36
38.724	34.187	2	50	50G8	0.003311083	3.97E-06	37
0.625	27.166	2	55	50G8	0.003643134	4.37E-06	38
115.7	37.705	2	50	50G8	0.003311083	3.97E-06	39
7.374	58.332	2	60	50G8	0.003975356	4.77E-06	40
32.665	76.456	2	60	50G8	0.003975356	4.77E-06	41
257.688	8.489	2	60	50G8	0.003975356	4.77E-06	42
643.593	33.073	2	50	50G8	0.003311083	3.97E-06	43
1186.912	54.854	2	45	50G8	0.002979204	3.57E-06	44
1136.659	12.075	2	35	50G8	0.002315959	2.78E-06	45
895.936	0	2	30	50G8	0.001984594	2.38E-06	46
769.793	0	2	30	50G8	0.001984594	2.38E-06	47
555.656	39.423	2	40	50G8	0.002647496	3.18E-06	48
733.665	6.076	2	35	50G8	0.002315959	2.78E-06	49
778.247	0	2	25	50G8	0.0016534	1.98E-06	50
703.323	0	2	30	50G8	0.001984594	2.38E-06	51
677.041	7.837	2	35	50G8	0.002315959	2.78E-06	52
493.195	0.828	2	35	50G8	0.002315959	2.78E-06	53
251.423	0	2	30	50G8	0.001984594	2.38E-06	54
314.475	0	2	30	50G8	0.001984594	2.38E-06	55
342.085	0	2	30	50G8	0.001984594	2.38E-06	56
329.991	0	2	30	50G8	0.001984594	2.38E-06	57
392.105	0	2	30	50G8	0.001984594	2.38E-06	58
387.556	0	2	30	50G8	0.001984594	2.38E-06	59
465.251	8.328	2	35	50G8	0.002315959	2.78E-06	60
514.228	0.726	2	35	50G8	0.002315959	2.78E-06	61
447.262	28.649	2	40	50G8	0.002647496	3.18E-06	62
518.827	0	2	30	50G8	0.001984594	2.38E-06	63
729.61	9.502	2	40	50G8	0.002647496	3.18E-06	64
1129.135	0	2	30	50G8	0.001984594	2.38E-06	65
986.917	0.672	2	35	50G8	0.002315959	2.78E-06	66
646.987	6.382	2	35	50G8	0.002315959	2.78E-06	67
513.533	67.25	2	50	50G8	0.003311083	3.97E-06	68
270.06	34.628	2	65	50G8	0.004307749	5.17E-06	69
162.411	279.5	2	70	50G8	0.004640313	5.57E-06	70
59.826	89.211	2	65	50G8	0.004307749	5.17E-06	71
14.564	108.433	2	55	50G8	0.003643134	4.37E-06	72
NA	NA	2	NA	50G8	833.2030494	0.999763678	73
262.198	1.605	3	55	50G9	0.003643134	4.14E-06	1
212.088	2.65	3	55	50G9	0.003643134	4.14E-06	2
154.747	2.406	3	60	50G9	0.003975356	4.52E-06	3
